hhid14_9,edu_level,pidlink
8150000,2,8150007
8150000,,8150007
8150008,1,8150008
8150008,2,8150008
8150005,1,8155101
8150005,2,8155101
8150008,1,8155201
8150008,2,8155201
8160000,1,8160005
8160000,2,8160005
8160000,1,8160006
8160000,2,8160006
8160000,3,8160006
8173100,1,8173103
8173100,2,8173103
8173100,3,8173103
8194100,1,8190006
8194100,2,8190006
8194100,3,8190006
8200004,1,8200004
8200004,2,8200004
8200004,3,8200004
8200004,4,8200004
8200004,1,8200005
8200004,2,8200005
8210000,1,8210004
8210000,2,8210004
8210000,1,8210010
8210000,2,8210010
8210000,3,8210010
8220000,1,8220006
8220000,2,8220006
8220000,3,8220006
8220004,1,8225201
8220004,2,8225201
8220004,3,8225201
8250000,1,8250005
8250000,2,8250005
8250000,3,8250005
8254100,1,8254101
8254100,2,8254101
8260000,1,8260003
8260005,1,8260005
8260000,1,8260008
8260000,2,8260008
8270005,1,8270005
8270005,2,8270005
8270008,3,8270008
8270008,,8270008
8270008,,8270008
8270000,1,8270010
8270000,2,8270010
8270000,3,8270010
8273100,1,8273106
8273100,2,8273106
8274200,1,8274206
8274200,2,8274206
8274200,3,8274206
8270005,1,8275101
8270005,2,8275101
8270008,1,8275202
8270008,2,8275202
8270008,3,8275202
8280003,1,8280003
8280003,2,8280003
8280000,1,8280004
8280000,2,8280004
8280000,3,8280004
8280007,1,8280007
8280007,2,8280007
8280007,3,8280007
8280007,1,8285203
8280007,2,8285203
8290000,3,8290009
8290000,,8290009
8290000,,8290009
8290000,1,8290010
8290000,2,8290010
8290000,3,8290010
8293100,1,8293103
8293100,2,8293103
8293100,3,8293103
8293100,4,8293103
8293100,1,8293104
8293100,2,8293104
8293100,3,8293104
8290003,1,8295102
8290003,2,8295102
8290003,1,8295103
8290003,2,8295103
8290003,3,8295103
9014400,1,9014402
9014400,2,9014402
9014400,3,9014402
9014400,4,9014402
9020000,1,9020008
9020000,2,9020008
9020000,3,9020008
9024100,1,9024103
9024100,2,9024103
9024100,3,9024103
9020004,1,9025101
9020004,2,9025101
9020004,3,9025101
9033103,1,9033103
9033103,2,9033103
9033103,3,9033103
9033103,4,9033103
9033100,1,9033104
9033100,2,9033104
9033100,3,9033104
9033100,1,9033105
9033100,2,9033105
9033100,3,9033105
9050007,1,9050007
9050007,2,9050007
9050007,3,9050007
9053100,1,9053103
9053100,2,9053103
9053100,3,9053103
9054103,1,9054103
9054103,2,9054103
9054103,3,9054103
9060000,1,9060008
9060000,2,9060008
9060000,3,9060008
9074100,1,9070003
9074100,2,9070003
9070004,1,9070004
9070004,2,9070004
9070004,3,9070004
9070000,3,9070007
9070000,,9070007
9070000,,9070007
9070011,1,9070011
9070011,2,9070011
9070011,3,9070011
9070000,1,9070013
9070000,2,9070013
9070000,3,9070013
9074300,1,9074304
9074300,2,9074304
9074300,3,9074304
9074300,4,9074304
9084200,3,9080006
9084200,,9080006
9084200,,9080006
9080000,4,9080007
9080000,,9080007
9080000,,9080007
9080000,,9080007
9080000,1,9080009
9080000,2,9080009
9080000,3,9080009
9084200,1,9084203
9084200,2,9084203
9084200,3,9084203
9090005,1,9090005
9090005,2,9090005
9090000,1,9090007
9090000,2,9090007
9110002,2,9110003
9110002,3,9110003
9110002,4,9110003
9110002,,9110003
9110000,1,9110005
9110000,2,9110005
9110000,3,9110005
9110000,1,9110010
9110000,1,9110012
9110000,2,9110012
9110000,3,9110012
9110000,1,9110014
9110000,2,9110014
9124100,3,9120003
9124100,4,9120003
9124100,,9120003
9124100,,9120003
9120002,1,9120004
9120002,2,9120004
9120002,3,9120004
9144100,4,9140003
