pidlink,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration
21030004.0,0,1,0,0,0,0
21040002.0,0,1,0,0,0,0
21040003.0,0,1,0,0,0,0
21040004.0,0,1,0,0,0,0
21050002.0,0,1,0,0,0,0
21050005.0,0,1,0,0,0,0
21050006.0,0,1,0,0,0,0
21060002.0,0,1,0,0,0,0
21060003.0,0,1,0,0,0,0
21070001.0,0,1,0,0,0,0
21070002.0,0,1,0,0,0,0
21090007.0,0,1,0,0,0,0
21090010.0,0,0,0,0,0,1
21100001.0,0,1,0,0,0,0
21100002.0,0,1,0,0,0,0
21100003.0,0,0,0,0,0,1
21110002.0,0,0,1,0,0,0
21110003.0,0,0,1,0,0,0
21130001.0,0,1,0,0,0,0
21130002.0,0,1,0,0,0,0
21130007.0,0,1,0,0,0,0
21130008.0,0,1,0,0,0,0
21130009.0,0,1,0,0,0,0
21140001.0,0,1,0,0,0,0
21140002.0,0,1,0,0,0,0
21140003.0,0,1,0,0,0,0
21150002.0,0,1,0,0,0,0
21160001.0,0,1,0,0,0,0
21170008.0,0,1,0,0,0,0
21170012.0,0,1,0,0,0,0
21170004.0,0,1,0,0,0,0
21170005.0,0,1,0,0,0,0
21173201.0,0,1,0,0,0,0
21180001.0,0,1,0,0,0,0
21180003.0,0,1,0,0,0,0
21180006.0,0,1,0,0,0,0
